airline_name,month,DepDel15_count,DepDel15_sum,DepDelayMinutes_mean,Is_Cancelled_sum,CarrierDelay_sum,WeatherDelay_sum,NASDelay_sum,LateAircraftDelay_sum,on_time_rate
Alaska Airlines,1,18163,3001.0,9.81104443098607,243,48474.0,11786.0,39258.0,57916.0,0.8347739910807686
Alaska Airlines,2,16315,3103.0,11.170334048421697,352,47557.0,9634.0,57993.0,62012.0,0.8098069261415874
Alaska Airlines,3,18925,3247.0,10.041426684280053,123,50098.0,7044.0,52056.0,71000.0,0.8284280052840158
Allegiant Air,1,9345,2175.0,21.417121455323702,119,55149.0,34625.0,32543.0,70966.0,0.767255216693419
Allegiant Air,2,9371,2251.0,47.401942112684395,88,57126.0,24856.0,55203.0,80367.0,0.7597908440934799
Allegiant Air,3,13355,2892.0,19.337326843878696,79,71862.0,15985.0,66804.0,98912.0,0.7834518906776489
American Airlines,1,75088,13598.0,15.679948860004261,2802,413376.0,81734.0,188499.0,424388.0,0.8189058171745153
American Airlines,2,69876,13166.0,31.972845341452146,925,412062.0,57510.0,199331.0,443149.0,0.8115805140534662
American Airlines,3,82536,17630.0,18.773662401861007,1255,485938.0,85461.0,266089.0,669660.0,0.7863962392168267
Delta Air Lines,1,76306,14598.0,33.77741838061735,2137,473239.0,131009.0,222491.0,305736.0,0.808691321783346
Delta Air Lines,2,71333,14024.0,31.161034712060328,164,439238.0,58542.0,203865.0,290809.0,0.8034009504717312
Delta Air Lines,3,84487,15278.0,28.576711628583574,416,462197.0,43377.0,241077.0,368664.0,0.8191674458792477
Envoy Air,1,21890,3297.0,12.056144358154409,1030,72749.0,41204.0,63825.0,101293.0,0.8493832800365464
Envoy Air,2,19995,3161.0,10.992698174543635,346,59412.0,24469.0,57473.0,91996.0,0.8419104776194049
Envoy Air,3,24032,4095.0,11.652796271637817,662,70703.0,30163.0,66927.0,123831.0,0.8296021970705726
Frontier Airlines,1,15526,3515.0,19.237021769934305,392,88123.0,10853.0,57821.0,147311.0,0.7736055648589463
Frontier Airlines,2,15440,3509.0,20.417422279792746,201,82209.0,6852.0,62824.0,160804.0,0.7727331606217617
Frontier Airlines,3,18846,4525.0,20.77109200891436,371,111345.0,4554.0,77545.0,183557.0,0.7598959991510135
Hawaiian Airlines,1,6690,751.0,10.024364723467862,128,28966.0,8618.0,253.0,26469.0,0.8877428998505231
Hawaiian Airlines,2,6013,821.0,8.613171461832696,21,27850.0,1969.0,648.0,17850.0,0.8634624979211708
Hawaiian Airlines,3,6811,995.0,20.05078275111688,119,29125.0,2120.0,259.0,24480.0,0.8539127881368375
JetBlue Airways,1,17918,3942.0,15.140361647505301,323,81987.0,5995.0,65543.0,109358.0,0.779997767607992
JetBlue Airways,2,17685,4593.0,21.921571953633023,458,91809.0,14700.0,103210.0,171433.0,0.7402883799830364
JetBlue Airways,3,21304,4823.0,18.57275628989861,165,101268.0,9162.0,98422.0,165510.0,0.7736105895606459
PSA Airlines,1,21094,4456.0,42.725866432451774,1899,122939.0,46314.0,63227.0,196021.0,0.7887550962358965
PSA Airlines,2,19508,5877.0,29.74456633176133,1987,173166.0,33905.0,79091.0,296924.0,0.6987389788804592
PSA Airlines,3,21981,4850.0,41.985005217595315,871,135882.0,35893.0,58413.0,230035.0,0.7793548974114007
Republic Airways,1,27833,3279.0,23.091354430170384,1119,69618.0,11020.0,83863.0,66936.0,0.8821902058707289
Republic Airways,2,25483,4168.0,12.320919828905545,891,90072.0,18949.0,124245.0,118298.0,0.8364399795942393
Republic Airways,3,28824,3646.0,18.790923775832443,338,79226.0,16939.0,99373.0,103567.0,0.8735081876214266
SkyWest Airlines,1,65036,11923.0,29.70426048024764,1343,541772.0,181519.0,156670.0,235074.0,0.8166707669598376
SkyWest Airlines,2,59806,12082.0,18.514296224459084,1055,542935.0,165502.0,162303.0,263987.0,0.7979801357723305
SkyWest Airlines,3,70517,12628.0,15.757689635123445,1075,539058.0,158294.0,181750.0,213556.0,0.8209226144050371
Southwest Airlines,1,105307,17903.0,9.6479056472979,3016,239675.0,32973.0,161075.0,370449.0,0.8299923082036331
Southwest Airlines,2,100199,18665.0,16.220849038007724,557,246600.0,19974.0,214121.0,443046.0,0.8137206958153275
Southwest Airlines,3,122432,24597.0,25.12213824655302,1022,342671.0,32021.0,240738.0,663147.0,0.7990966414009409
Spirit Airlines,1,17544,3086.0,22.401715337306246,572,49519.0,2946.0,76094.0,49986.0,0.8240994072047424
Spirit Airlines,2,16232,2864.0,25.783119286635632,179,48618.0,2469.0,114943.0,45516.0,0.8235584031542632
Spirit Airlines,3,19828,3810.0,47.73583763107313,215,67492.0,9757.0,146176.0,61033.0,0.8078474884002421
United Airlines,1,62007,10136.0,11.748383247052752,1189,225300.0,29376.0,170665.0,248856.0,0.8365345848049414
United Airlines,2,57628,9536.0,12.71257027833692,181,195080.0,46868.0,231583.0,249320.0,0.8345248837370722
United Airlines,3,66994,10957.0,12.70909335164343,212,214753.0,41423.0,237175.0,304128.0,0.8364480401229961
